STATE	Posterior	Log-likelihood	Log-prior	Partition
19000	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
19100	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
19200	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
19300	-110.89355376725152	-101.39606406883561	-9.497489698415897	[[0,2,6,7,8,9],[1,3,4,5]]
19400	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
19500	-110.12951211184088	-100.42293061556643	-9.706581496274456	[[0,2,3,4,5],[1,6,7,8,9]]
19600	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
19700	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
19800	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
19900	-113.44267997588807	-103.62673654635364	-9.81594342953443	[[0,2,6,7,8,9],[1],[3,4,5]]
20000	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
20100	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
20200	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
20300	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
20400	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
20500	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
20600	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
20700	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
20800	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
20900	-111.86647578499311	-104.17057847672152	-7.695897308271603	[[0,1,2,4,6,7,8,9],[3,5]]
21000	-110.11768088289548	-100.62019118447958	-9.497489698415897	[[0,3,4,5],[1,2,6,7,8,9]]
21100	-107.99933821151286	-99.14847567802202	-8.850862533490844	[[0,1,2,6,7,8,9],[3,4,5]]
21200	-108.84211916761585	-99.1355376713414	-9.706581496274456	[[0,1,3,4,5],[2,6,7,8,9]]
21300	-107.92567926276121	-98.42818956434532	-9.497489698415897	[[0,1,2,3,4,5],[6,7,8,9]]
